Failed Record: Name - Joey Black, Email - joey@gmail.com, User Name - joey323
Failed Record: Name - Antonio Shepard, Email - antonio@yahoo.com, User Name - antonio
Failed Record: Name - Kim Howell, Email - kim@example, User Name - kim123
Failed Record: Name - Marc Brewer, Email - marc@test.com, User Name - marctest
Failed Record: Name - Chelsea McDonald, Email - mcdonald@clickup.com, User Name - 
Failed Record: Name - Amber Velasquez, Email - amber@gmail.com, User Name - amber123
Failed Record: Name - Vickie Santos, Email - kim@example.com, User Name - 
Failed Record: Name - Joey Black, Email - joey@gmail.com, User Name - joey323
Failed Record: Name - Antonio Shepard, Email - antonio@yahoo.com, User Name - antonio
Failed Record: Name - Kim Howell, Email - kim@example, User Name - kim123
Failed Record: Name - Marc Brewer, Email - marc@test.com, User Name - marctest
Failed Record: Name - Chelsea McDonald, Email - mcdonald@clickup.com, User Name - 
Failed Record: Name - Amber Velasquez, Email - amber@gmail.com, User Name - amber123
Failed Record: Name - Vickie Santos, Email - kim@example.com, User Name - 
Failed Record: Name - Joey Black, Email - joey@gmail.com, User Name - joey323
Failed Record: Name - Antonio Shepard, Email - antonio@yahoo.com, User Name - antonio
Failed Record: Name - Kim Howell, Email - kim@example, User Name - kim123
Failed Record: Name - Marc Brewer, Email - marc@test.com, User Name - marctest
Failed Record: Name - Chelsea McDonald, Email - mcdonald@clickup.com, User Name - 
Failed Record: Name - Amber Velasquez, Email - amber@gmail.com, User Name - amber123
Failed Record: Name - Vickie Santos, Email - kim@example.com, User Name - 
Failed Record: Name - Kim Howell, Email - kim@example, User Name - kim123
Failed Record: Name - Kim Howell, Email - kim@example, User Name - kim123
